source type,(single) Type of seismic source supported by OpenQuake.,simpleFaultSource,,,,,,,,,,,,,,,,,,,
source id,"(single) A unique string used to identify the seismic source. This string can contain letters, numbers, dashes, and underscores, with a maximum of 100 characters.",TjF1,,,,,,,,,,,,,,,,,,,
source name,(single) Name of seismic source.,West Chatkal,,,,,,,,,,,,,,,,,,,
tectonicRegion,(single) Type of tectonic region supported by OpenQuake.,Active Shallow Crust,,,,,,,,,,,,,,,,,,,
faultGeometry latitude,(multiple) List of latitudes (geographical decimal degrees).,41.31363925,41.5656821,41.85752119,42.16526114,42.17352002,,,,,,,,,,,,,,,
faultGeometry longitude,(multiple) List of longitudes (geographical decimal degrees).,69.73644736,70.34665637,70.8772729,71.36328226,71.64824189,,,,,,,,,,,,,,,
dip,(sinlge) Inclination angle of the fault source relative to the horizontal. Measured in degrees (0 horizontal to 90 vertical).,30,,,,,,,,,,,,,,,,,,,
upperSeismoDepth,(single) The upper seismogenic depth (km).,0,,,,,,,,,,,,,,,,,,,
lowerSeismoDepth,(single) The lower seismogenic depth (km).,25,,,,,,,,,,,,,,,,,,,
magScaleRel,(single) Magnitude-scaling relationship.,WC1994,,,,,,,,,,,,,,,,,,,
ruptAspectRatio,"(single) The rupture aspect ratio. Ratio=1 means rupture has square shape. Ratio<1 means rupture is more stretched vertically, and ratio>1 means rupture is more stretched horizontally.",3,,,,,,,,,,,,,,,,,,,
YoungsCoppersmithMFD minMag,(single) Minimum magnitude of the Youngs and Coppersmith magnitude-frequency distribution. The value corresponds to the mid point of the minimum magnitude bin.,6,,,,,,,,,,,,,,,,,,,
YoungsCoppersmithMFD bValue,(single) 'b’ value of the Youngs and Coppersmith magnitude-frequency distribution.,1,,,,,,,,,,,,,,,,,,,
YoungsCoppersmithMFD binWidth,(single) Width of each magnitude bin in the Youngs and Coppersmith magnitude-frequency distribution.,0.1,,,,,,,,,,,,,,,,,,,
YoungsCoppersmithMFD characteristicMag,(single) Magnitude of the characteristic earthquake.,7.8,,,,,,,,,,,,,,,,,,,
YoungsCoppersmithMFD totalMomentRate,(single) Total moment rate of the system of the Youngs and Coppesmith magnitude-frequency distribution.,2.59E+14,,,,,,,,,,,,,,,,,,,
rake,"(single) Slip direction of the hanging wall on the fault source during a rupture. Measured in degrees (0 or 180 is strike slip, 90 and -90 are reverse and normal slip, respectively).",90,,,,,,,,,,,,,,,,,,,
hypo alongStrike,"(single or multiple) Fraction of rupture length [0,1] for possible hypocentral positions, using the upper-left corner of the rupture as reference.",0,0.5,,,,,,,,,,,,,,,,,,
hypo downDip,"(single or multiple) Fraction of rupture width [0,1] for possible hypocentral positions, using the upper-left corner of the rupture as reference.",0.5,0.5,,,,,,,,,,,,,,,,,,
hypo weight,(single or multiple) Weight for hypocentral ‘alongStrike’ and ‘downDip’ values (sum of these weights must be 1).,0.5,0.5,,,,,,,,,,,,,,,,,,
slip value,(single or multiple) List of possible rupture slip directions (degrees). The angle describing each slip direction is measured counter-clockwise using the fault strike direction as reference.,90,80,,,,,,,,,,,,,,,,,,
slip weight,(single or multiple) Weight for the slip directions (sum of these weights must be 1).,0.8,0.2,,,,,,,,,,,,,,,,,,
source type,(single) Type of seismic source supported by OpenQuake.,simpleFaultSource,,,,,,,,,,,,,,,,,,,
source id,"(single) A unique string used to identify the seismic source. This string can contain letters, numbers, dashes, and underscores, with a maximum of 100 characters.",TjF2,,,,,,,,,,,,,,,,,,,
source name,(single) Name of seismic source.,South Atoynok,,,,,,,,,,,,,,,,,,,
tectonicRegion,(single) Type of tectonic region supported by OpenQuake.,Active Shallow Crust,,,,,,,,,,,,,,,,,,,
faultGeometry latitude,(multiple) List of latitudes (geographical decimal degrees).,41.32210778,41.26546031,41.161526,41.00112735,40.91757905,40.77113491,40.70767578,40.51729839,,,,,,,,,,,,
faultGeometry longitude,(multiple) List of longitudes (geographical decimal degrees).,71.3684779,71.24210969,71.155083,70.85994762,70.44540546,70.15251717,69.89868065,69.33731142,,,,,,,,,,,,
dip,(sinlge) Inclination angle of the fault source relative to the horizontal. Measured in degrees (0 horizontal to 90 vertical).,30,,,,,,,,,,,,,,,,,,,
upperSeismoDepth,(single) The upper seismogenic depth (km).,0,,,,,,,,,,,,,,,,,,,
lowerSeismoDepth,(single) The lower seismogenic depth (km).,25,,,,,,,,,,,,,,,,,,,
magScaleRel,(single) Magnitude-scaling relationship.,WC1994,,,,,,,,,,,,,,,,,,,
ruptAspectRatio,"(single) The rupture aspect ratio. Ratio=1 means rupture has square shape. Ratio<1 means rupture is more stretched vertically, and ratio>1 means rupture is more stretched horizontally.",3,,,,,,,,,,,,,,,,,,,
